author_name,developer_type,is_se_engineer,is_ml_engineer,is_hybrid_engineer,total_commits,projects_contributed,total_files_touched,owned_files,bugs_introduced,bugs_fixed,bug_introducing_ratio,deadcode_items_attribute,deadcode_items_class,deadcode_items_function,deadcode_items_other,deadcode_items_property,deadcode_items_total,deadcode_items_variable,design_smell_broken_hierarchy,design_smell_broken_modularization,design_smell_deep_hierarchy,design_smell_deficient_encapsulation,design_smell_feature_envy,design_smell_hub_like_modularization,design_smell_insufficient_modularization,design_smell_multifaceted_abstraction,design_smell_rebellious_hierarchy,design_smell_wide_hierarchy,fix_commit,impl_smell_complex_conditional,impl_smell_complex_method,impl_smell_empty_catch_clause,impl_smell_long_identifier,impl_smell_long_lambda_function,impl_smell_long_message_chain,impl_smell_long_method,impl_smell_long_parameter_list,impl_smell_long_statement,impl_smell_magic_number,impl_smell_missing_default,mlsmell_broadcasting_feature_not_used,mlsmell_chain_indexing,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_dataframe_conversion_api_misused,mlsmell_deterministic_algorithm_option_not_used,mlsmell_empty_column_misinitialization,mlsmell_gradients_not_cleared,mlsmell_hyperparameters_not_explicitly_set,mlsmell_in_place_apis_misused,mlsmell_matrix_multiplication_api_misused,mlsmell_memory_not_freed,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_nan_equivalence_comparison_misused,mlsmell_pytorch_call_method_misused,mlsmell_tensor_array_not_used,mlsmell_unnecessary_iteration,szz_introducing_commits_count,vuln_bandit_issues_high,vuln_bandit_issues_low,vuln_bandit_issues_medium,vuln_bandit_issues_total,vuln_bandit_test_ids
David Speck,Hybrid-engineer,0,0,1,24,['kimhc6028 relational networks'],3.0,[],4,2,0.16666666666666666,0,0,0,96,0,120,24,0,0,0,0,0,0,0,0,0,0,2,13,48,0,0,0,0,31,0,161,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Dex D Hunter,SE-engineer,1,0,0,2,['phillipi pix2pix'],1.0,[],0,0,0.0,0,0,0,6,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhruv Awasthi,SE-engineer,1,0,0,1,['clemkoa tooth detection'],,[],0,0,0.0,0,0,2,6,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinesh Raghu,ML-engineer,0,1,0,27,['dair iitd BossNet'],10.0,"['dair iitd BossNet::data_utils.py', 'dair iitd BossNet::memn2n/__init__.py', 'dair iitd BossNet::memn2n/memn2n_dialog_generator.py', 'dair iitd BossNet::single_dialog.py', 'dair iitd BossNet::src/memn2n/__init__.py']",57,11,2.111111111111111,201,0,65,317,34,863,246,0,0,0,86,4,0,18,19,0,0,11,18,277,0,71,37,0,117,194,1814,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
Divter,SE-engineer,1,0,0,8,['alvarowolfx gcloud iot edge tensorflow'],,[],3,2,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Doctorado,SE-engineer,1,0,0,1,['JdeRobot DetectionSuite'],,[],0,0,0.0,6,4,6,18,0,56,22,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,3,2,45,140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Schl sser,SE-engineer,1,0,0,189,['domschl tensor poet'],1.0,['domschl tensor poet::apple_poet.py'],119,20,0.6296296296296297,0,0,0,30,0,36,6,0,0,0,0,0,0,0,0,0,0,20,0,12,0,0,0,0,6,6,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0
Dominik Schloesser,ML-engineer,0,1,0,64,['domschl tensor poet'],,[],14,7,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Doug Morrison,SE-engineer,1,0,0,80,['dougsm mvp grasp'],50.0,"['dougsm mvp grasp::dougsm_helpers/scripts/test_build.py', 'dougsm mvp grasp::dougsm_helpers/setup.py', 'dougsm mvp grasp::dougsm_helpers/src/dougsm_helpers/__init__.py', 'dougsm mvp grasp::dougsm_helpers/src/dougsm_helpers/gridshow.py', 'dougsm mvp grasp::dougsm_helpers/src/dougsm_helpers/ros_control.py', 'dougsm mvp grasp::dougsm_helpers/src/dougsm_helpers/tf_helpers.py', 'dougsm mvp grasp::dougsm_helpers/src/dougsm_helpers/timeit.py', 'dougsm mvp grasp::franka_control_wrappers/ros_nodes/ap_grasping.py', 'dougsm mvp grasp::franka_control_wrappers/ros_nodes/ap_grasping_velo.py', 'dougsm mvp grasp::franka_control_wrappers/ros_nodes/panda_open_loop_grasp.py', 'dougsm mvp grasp::franka_control_wrappers/ros_nodes/set_panda_defaults.py', 'dougsm mvp grasp::franka_control_wrappers/ros_nodes/test_panda_commander.py', 'dougsm mvp grasp::franka_control_wrappers/scripts/ap_grasping.py', 'dougsm mvp grasp::franka_control_wrappers/scripts/panda_open_loop_grasp.py', 'dougsm mvp grasp::franka_control_wrappers/scripts/test_panda_commander.py', 'dougsm mvp grasp::franka_control_wrappers/setup.py', 'dougsm mvp grasp::franka_control_wrappers/src/franka_control_wrappers/__init__.py', 'dougsm mvp grasp::franka_control_wrappers/src/franka_control_wrappers/panda_commander.py', 'dougsm mvp grasp::ggcnn/ros_nodes/active_grasp.py', 'dougsm mvp grasp::ggcnn/ros_nodes/ggcnn_predict_rt.py', 'dougsm mvp grasp::ggcnn/ros_nodes/ggcnn_service.py', 'dougsm mvp grasp::ggcnn/ros_nodes/panda_active_grasp.py', 'dougsm mvp grasp::ggcnn/ros_nodes/panda_open_loop_grasp.py', 'dougsm mvp grasp::ggcnn/ros_nodes/panda_open_loop_grasp_singulated.py', 'dougsm mvp grasp::ggcnn/setup.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/__init__.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/aegrasp.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/ggcnn.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/ggcnn_torch.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/grasp.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/grasp_stats.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/gridshow.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/heightmap.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/models/__init__.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/models/ggcnn_large.py', 'dougsm mvp grasp::ggcnn/src/ggcnn/renderer.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/ap_grasping.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/ap_grasping_baseline.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/ap_grasping_velo.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/ap_grasping_velo_singulated.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/grasp_entropy_node.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/panda_fixed_baseline_grasp.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/panda_mvp_grasp.py', 'dougsm mvp grasp::mvp_grasping/ros_nodes/panda_open_loop_grasp.py', 'dougsm mvp grasp::mvp_grasping/setup.py', 'dougsm mvp grasp::mvp_grasping/src/mvp_grasping/__init__.py', 'dougsm mvp grasp::mvp_grasping/src/mvp_grasping/grasp_stats.py', 'dougsm mvp grasp::mvp_grasping/src/mvp_grasping/gridworld.py', 'dougsm mvp grasp::mvp_grasping/src/mvp_grasping/panda_base_grasping_controller.py', 'dougsm mvp grasp::mvp_grasping/src/mvp_grasping/renderer.py']",8,6,0.1,1284,7,567,1605,84,4346,799,0,0,0,104,217,0,14,154,0,0,6,8,229,0,118,77,252,158,220,2615,9186,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,8,0,0,0,0,0
Edgar Simo Serra,Hybrid-engineer,0,0,1,13,['bobbens sketch simplification'],1.0,['bobbens sketch simplification::simplify.py'],0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edward Leardi,SE-engineer,1,0,0,1,['IBM MAX Weather Forecaster'],2.0,[],5,1,5.0,0,0,0,2,0,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Elad,ML-engineer,0,1,0,74,['tech srl code2vec'],16.0,"['tech srl code2vec::code2vec.py', 'tech srl code2vec::common.py', 'tech srl code2vec::config.py', 'tech srl code2vec::keras_attention_layer.py', 'tech srl code2vec::keras_checkpoint_saver_callback.py', 'tech srl code2vec::keras_model.py', 'tech srl code2vec::keras_topk_word_predictions_layer.py', 'tech srl code2vec::keras_word_prediction_layer.py', 'tech srl code2vec::keras_words_subtoken_metrics.py', 'tech srl code2vec::model_base.py', 'tech srl code2vec::path_context_reader.py', 'tech srl code2vec::tensorflow_model.py', 'tech srl code2vec::vocabularies.py']",124,20,1.6756756756756757,225,0,0,1563,201,2309,320,0,4,0,130,62,0,44,186,108,0,20,71,457,0,1665,62,0,43,197,8526,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,5,0,5,B101B101B101B101B101
Elad Nachmias,SE-engineer,1,0,0,1,['tech srl code2vec'],,[],1,1,1.0,6,0,0,30,5,43,2,0,1,0,3,0,0,2,3,2,0,1,1,7,0,42,2,0,1,3,148,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eran Yahav,SE-engineer,1,0,0,1,['tech srl code2vec'],,[],0,1,0.0,0,0,1,8,0,14,5,0,0,0,0,0,0,0,1,0,0,1,0,5,0,2,0,0,0,2,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Mueller,SE-engineer,1,0,0,69,['TIBHannover GeoEstimation'],11.0,"['TIBHannover GeoEstimation::cnn_architectures/__init__.py', 'TIBHannover GeoEstimation::cnn_architectures/cnn_model.py', 'TIBHannover GeoEstimation::cnn_architectures/resnet_utils.py', 'TIBHannover GeoEstimation::cnn_architectures/resnet_v2.py', 'TIBHannover GeoEstimation::cnn_architectures/vgg.py', 'TIBHannover GeoEstimation::downloader.py', 'TIBHannover GeoEstimation::draw_class_activation_maps.py', 'TIBHannover GeoEstimation::geo_estimation.py', 'TIBHannover GeoEstimation::inference.py', 'TIBHannover GeoEstimation::scene_classification.py', 'TIBHannover GeoEstimation::utils.py']",23,14,0.3333333333333333,257,51,158,82,0,732,184,0,0,0,0,49,0,0,150,0,0,14,0,215,0,0,0,0,13,550,1688,1309,0,0,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
Eric Mueller Budack,SE-engineer,1,0,0,3,['TIBHannover GeoEstimation'],,[],0,0,0.0,10,2,6,6,0,30,6,0,0,0,0,2,0,0,6,0,0,0,0,12,0,0,0,0,2,22,78,76,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Harris,SE-engineer,1,0,0,2,['ethanwharris STAWM'],,[],0,0,0.0,12,0,0,116,0,132,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,10,128,56,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,B101B101
Ethan Perez,SE-engineer,1,0,0,6,['Tiiiger bert score'],2.0,[],0,0,0.0,0,0,0,42,0,48,6,0,0,0,20,0,0,0,12,0,0,0,0,42,0,0,0,0,12,42,308,60,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangelos Athanasakis,ML-engineer,0,1,0,6,['JustGlowing minisom'],,[],5,1,0.8333333333333334,0,6,12,144,0,162,0,0,0,0,18,12,0,6,0,0,0,1,6,6,0,6,0,0,0,6,90,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Favyen Bastani,SE-engineer,1,0,0,2,['phillipi pix2pix'],,[],0,0,0.0,0,0,2,8,0,12,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico Magliani,SE-engineer,1,0,0,2,['GKalliatakis Keras VGG16 places365'],2.0,[],0,0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fei Yao,SE-engineer,1,0,0,1,['JustGlowing minisom'],,[],0,0,0.0,0,1,2,23,0,26,0,0,0,0,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FeiYao Edinburgh,ML-engineer,0,1,0,1,['JustGlowing minisom'],,[],0,0,0.0,0,1,2,23,0,26,0,0,0,0,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Wu,ML-engineer,0,1,0,156,['Tiiiger bert score'],19.0,"['Tiiiger bert score::bert_score/__init__.py', 'Tiiiger bert score::bert_score/score.py', 'Tiiiger bert score::bert_score/scorer.py', 'Tiiiger bert score::bert_score/utils.py', 'Tiiiger bert score::bert_score_cli/__init__.py', 'Tiiiger bert score::bert_score_cli/score.py', 'Tiiiger bert score::bert_score_cli/visualize.py', 'Tiiiger bert score::cli/__init__.py', 'Tiiiger bert score::cli/score.py', 'Tiiiger bert score::cli/visualize.py', 'Tiiiger bert score::example/demo.py', 'Tiiiger bert score::get_rescale_baseline/get_rescale_baseline.py', 'Tiiiger bert score::reproduce/get_wmt17_sys_results.py', 'Tiiiger bert score::reproduce/get_wmt18_seg_results.py', 'Tiiiger bert score::setup.py', 'Tiiiger bert score::tests/test_bert_score.py', 'Tiiiger bert score::tests/test_score_function.py', 'Tiiiger bert score::tests/test_scorer.py', 'Tiiiger bert score::tune_layers/tune_layers.py']",60,20,0.38461538461538464,62,0,0,1302,0,1518,154,84,0,0,552,0,0,0,266,0,0,20,0,1162,0,42,0,0,404,978,8114,1930,0,0,96,760,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
Flavio Giobergia,SE-engineer,1,0,0,3,['JustGlowing minisom'],1.0,[],1,1,0.3333333333333333,0,4,8,84,0,96,0,0,0,0,9,6,0,7,1,0,0,1,3,5,0,5,0,0,0,3,47,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Francisco Rivas,SE-engineer,1,0,0,65,['JdeRobot DetectionSuite'],13.0,"['JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_detect.py', 'JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_utils/__init__.py', 'JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_utils/bounding_box_utils.py', 'JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_utils/keras_layer_AnchorBoxes.py', 'JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_utils/keras_layer_DecodeDetections.py', 'JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_utils/keras_layer_L2Normalization.py', 'JdeRobot DetectionSuite::DeepLearningSuite/DeepLearningSuiteLib/python_modules/keras_utils/keras_ssd_loss.py']",9,3,0.13846153846153847,85,34,51,244,0,567,153,0,0,0,17,0,0,0,0,0,0,3,0,85,0,0,0,0,34,34,612,1785,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,9,0,0,0,0,0
Fred Reiss,SE-engineer,1,0,0,8,"['IBM MAX Fast Neural Style Transfer', 'IBM MAX Inception ResNet v2', 'IBM MAX Review Text Generator', 'IBM MAX Scene Classifier']",,[],0,0,0.0,0,16,1,18,0,67,32,0,9,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
GKalliatakis,SE-engineer,1,0,0,13,['GKalliatakis Keras VGG16 places365'],3.0,['GKalliatakis Keras VGG16 places365::vgg16_hybrid_places_1365.py'],14,3,1.0769230769230769,0,0,14,35,0,62,13,0,0,0,26,0,0,0,0,0,0,3,0,28,0,0,0,0,26,26,529,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Gabriel Downs,SE-engineer,1,0,0,1,['GKalliatakis Keras VGG16 places365'],1.0,[],2,1,2.0,0,0,1,3,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Gabriela de Queiroz,SE-engineer,1,0,0,1,['IBM MAX Inception ResNet v2'],,[],0,0,0.0,0,2,0,2,0,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Suddrey,SE-engineer,1,0,0,3,['dougsm mvp grasp'],4.0,[],0,0,0.0,60,0,18,57,3,161,23,0,0,0,6,9,0,3,6,0,0,0,0,12,0,6,3,12,6,15,174,477,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Geoff Ford,SE-engineer,1,0,0,1,['nikicc twitter emotion recognition'],,[],0,0,0.0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georg,Hybrid-engineer,0,0,1,2,['jaredwinick img2vec keras'],3.0,[],0,0,0.0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gines,SE-engineer,1,0,0,2,['ZheC Realtime Multi Person Pose Estimation'],,[],0,0,0.0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GitHub Action,SE-engineer,1,0,0,5,['JdeRobot DetectionSuite'],,[],0,0,0.0,22,9,0,30,0,144,83,0,5,0,4,39,0,0,35,0,0,0,10,94,0,62,5,0,47,56,943,548,0,0,0,32,15,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0
Giuseppe Vettigli,SE-engineer,1,0,0,202,['JustGlowing minisom'],1.0,[],3,3,0.01485148514851485,0,207,595,5292,0,6193,99,0,0,0,608,470,0,384,28,0,0,3,202,306,0,534,0,0,13,211,3045,8951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Greg,ML-engineer,0,1,0,91,"['gsurma cartpole', 'gsurma face generator', 'gsurma image generator', 'gsurma text predictor']",14.0,"['gsurma cartpole::cartpole.py', 'gsurma cartpole::scores/__init__.py', 'gsurma cartpole::scores/score_logger.py', 'gsurma text predictor::data_loader.py', 'gsurma text predictor::data_provider.py', 'gsurma text predictor::model.py', 'gsurma text predictor::rnn.py', 'gsurma text predictor::rnn_model.py', 'gsurma text predictor::test.py', 'gsurma text predictor::text_predictor.py', 'gsurma text predictor::text_predictor2.py', 'gsurma text predictor::text_predictor3.py', 'gsurma text predictor::train.py', 'gsurma text predictor::utils.py']",4,4,0.04395604395604396,40,40,0,40,0,127,7,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,42,105,55,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0
Grigorios Kalliatakis,ML-engineer,0,1,0,38,['GKalliatakis Keras VGG16 places365'],5.0,"['GKalliatakis Keras VGG16 places365::helper_funcions.py', 'GKalliatakis Keras VGG16 places365::helper_functions.py', 'GKalliatakis Keras VGG16 places365::places_utils.py', 'GKalliatakis Keras VGG16 places365::vgg16_hybrid_places_1365.py', 'GKalliatakis Keras VGG16 places365::vgg16_places_365.py']",7,4,0.18421052631578946,0,0,27,63,0,99,9,0,0,0,58,0,0,0,0,0,0,4,0,64,0,0,0,0,58,58,1175,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Grubicki Piotr,SE-engineer,1,0,0,1,['IntelAI OpenVINO model server'],,[],0,0,0.0,0,0,6,0,0,11,5,2,8,0,0,0,0,0,14,0,0,0,1,3,0,48,0,0,5,19,96,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gumowski Mariusz,SE-engineer,1,0,0,45,['IntelAI OpenVINO model server'],10.0,[],0,1,0.0,4,0,351,26,0,599,218,33,314,0,70,0,0,0,498,0,0,1,28,187,0,1766,0,0,173,355,5167,4951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyeongsik Moon,SE-engineer,1,0,0,36,['mks0601 PoseFix RELEASE'],2.0,"['mks0601 PoseFix RELEASE::lib/tfflat/base.py', 'mks0601 PoseFix RELEASE::main/model.py']",0,2,0.0,180,0,648,288,0,1440,324,0,36,0,72,72,0,36,180,0,0,2,180,576,0,36,0,0,144,396,2808,9216,0,0,0,0,0,0,0,0,72,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Ha0Tang,SE-engineer,1,0,0,151,['Ha0Tang GestureGAN'],27.0,"['Ha0Tang GestureGAN::data/__init__.py', 'Ha0Tang GestureGAN::data/aligned_dataset.py', 'Ha0Tang GestureGAN::data/base_data_loader.py', 'Ha0Tang GestureGAN::data/base_dataset.py', 'Ha0Tang GestureGAN::data/image_folder.py', 'Ha0Tang GestureGAN::data/single_dataset.py', 'Ha0Tang GestureGAN::data/unaligned_dataset.py', 'Ha0Tang GestureGAN::main.py', 'Ha0Tang GestureGAN::models/__init__.py', 'Ha0Tang GestureGAN::models/base_model.py', 'Ha0Tang GestureGAN::models/gesturegan_onecycle_model.py', 'Ha0Tang GestureGAN::models/gesturegan_twocycle_model.py', 'Ha0Tang GestureGAN::models/networks.py', 'Ha0Tang GestureGAN::models/test_model.py', 'Ha0Tang GestureGAN::options/__init__.py', 'Ha0Tang GestureGAN::options/base_options.py', 'Ha0Tang GestureGAN::options/test_options.py', 'Ha0Tang GestureGAN::options/train_options.py', 'Ha0Tang GestureGAN::scripts/evaluation/IS/inception_score.py', 'Ha0Tang GestureGAN::test.py', 'Ha0Tang GestureGAN::train.py', 'Ha0Tang GestureGAN::util/__init__.py', 'Ha0Tang GestureGAN::util/get_data.py', 'Ha0Tang GestureGAN::util/html.py', 'Ha0Tang GestureGAN::util/image_pool.py', 'Ha0Tang GestureGAN::util/util.py', 'Ha0Tang GestureGAN::util/visualizer.py']",0,0,0.0,137,516,209,0,0,912,50,0,0,0,475,0,0,0,170,0,0,0,0,562,0,85,0,0,85,425,4568,6014,0,0,0,0,0,0,0,0,425,0,0,0,0,0,254,0,0,0,0,170,0,170,B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311
Hao,SE-engineer,1,0,0,1,['Ha0Tang GestureGAN'],,[],0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hao Tang,SE-engineer,1,0,0,28,['Ha0Tang GestureGAN'],,[],1,1,0.03571428571428571,56,140,84,0,0,308,28,0,0,0,168,0,0,0,56,0,0,1,0,196,0,28,0,0,28,140,1484,1848,0,0,0,0,0,0,0,0,140,0,0,0,0,0,84,0,0,1,0,56,0,56,B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311B311
HappyAmazonian,SE-engineer,1,0,0,3,['neo ai neo ai dlr'],,[],1,2,0.3333333333333333,18,3,24,69,0,252,138,0,0,0,24,15,0,3,9,0,0,2,3,39,0,36,0,0,3,6,273,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Harish Tummalacherla,SE-engineer,1,0,0,1,['neo ai neo ai dlr'],,[],0,0,0.0,1,0,1,8,0,40,30,0,0,0,2,8,0,1,1,0,0,0,1,10,0,4,0,1,0,0,57,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heecheol,SE-engineer,1,0,0,5,['kimhc6028 relational networks'],4.0,['kimhc6028 relational networks::translator.py'],0,1,0.0,0,0,0,5,0,35,30,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,5,0,20,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heecheol Kim,Hybrid-engineer,0,0,1,8,['kimhc6028 relational networks'],3.0,['kimhc6028 relational networks::model.py'],1,3,0.125,0,0,0,6,0,22,16,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,8,0,32,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Helena Kloosterman,SE-engineer,1,0,0,1,['IntelAI OpenVINO model server'],1.0,[],0,0,0.0,13,32,31,103,6,243,58,4,19,0,31,0,0,4,49,2,0,0,1,47,0,162,2,10,17,28,721,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hendrik Strobelt,SE-engineer,1,0,0,6,['HendrikStrobelt detecting fake text'],1.0,['HendrikStrobelt detecting fake text::backend/api.py'],0,0,0.0,0,0,30,6,0,48,12,0,0,0,0,6,0,0,12,0,0,0,0,6,0,0,0,0,6,0,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heo kyungyoung,SE-engineer,1,0,0,1,['seongahjo Mosaicer'],,[],0,0,0.0,0,0,5,5,0,15,5,0,0,0,0,0,0,1,1,0,0,0,2,6,0,2,0,0,4,8,63,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hikari Kibo,SE-engineer,1,0,0,11,['ClarityCafe Ivy'],1.0,[],5,5,0.45454545454545453,11,0,0,22,0,33,0,0,0,0,33,11,0,0,22,0,0,5,0,0,0,0,0,0,0,0,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
